Station Name,Agency Name,State Name,District,Basin Name,Sub Basin Name,Date Collection,Longitude,Latitude,k,cl,ca,hco3,mg,f,ph_gen,Level (m),,Potash,ph,Crop
Abhyath Mangale,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2018,75.85611111,12.33055556,2.2,56.8,NaN,NaN,46.208,0.18,8.122,7.3,,43,6.502985292,rice
Achangi,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2018,75.79888889,12.95583333,1.6,96,NaN,NaN,7.3,0.037,7.51,7.86,,41,7.038096361,rice
Adaragunj,CGWB,Karnataka,Dharwad,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,75.15472222,15.28416667,39.7,163.3,60,122,62.016,0.491803,8.064,7.97,,44,7.840207144,rice
Afzalpur1,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,76.35833333,17.2,7.8,475.7,NaN,NaN,12.1,0.35,7.842,6.77,,40,6.980400905,rice
Agadalu,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2018,75.77666667,13.19194444,0,207,NaN,NaN,0,0.53,7.21,NaN,,42,7.628472891,rice
Ahmedpur,CGWB,Karnataka,Hassan,Krishna Basin,Tungabhadra Lower,2018,76.27638889,13.49222222,5.95,439,NaN,NaN,72.84,0.73,7.99,NaN,,42,7.073453503,rice
Ainapur1,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,77.225,17.60833333,3.5,113.6,NaN,NaN,31,0.63,8.221,NaN,,38,5.70080568,rice
Airodi,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,74.71111111,13.45583333,7.5,28.4,NaN,NaN,26.708,0.024,9.895,5.92,,40,5.718627178,rice
Akki Alur,CGWB,Karnataka,Haveri,Krishna Basin,Tungabhadra Upper,2018,75.27583333,14.6,6.85,142,NaN,NaN,18.21,0.31,8.98,8.44,,38,6.685346424,rice
Alagur,CGWB,Karnataka,Bagalkot,Krishna Basin,Krishna Upper,2018,75.34861111,16.57222222,5.05,617.7,NaN,NaN,10.8,0.65,9.408,7.07,,38,6.336253525,rice
Alur1,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2018,75.98333333,12.96666667,6.4,185,NaN,NaN,63.23,1.2,8.27,NaN,,40,5.386167788,rice
Amdalli,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,74.25,14.78333333,3.8,20,16,81,7.3,0.29,7.46,5.36,,42,7.50283396,rice
Amingad,CGWB,Karnataka,Bagalkot,Krishna Basin,Krishna Upper,2018,75.94166667,16.05416667,7,347.9,NaN,NaN,9.728,1.88,8.765,NaN,,44,5.108681786,rice
Ammatti,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2018,75.86666667,12.24166667,5.2,63.9,NaN,NaN,12.1,0.14,7.979,NaN,,36,6.98435366,rice
Amminabhavi,CGWB,Karnataka,Dharwad,Krishna Basin,Krishna Upper,2018,75.05416667,15.54166667,6,127.8,18,256.2,4.864,0.628415,8.762,NaN,,37,6.94801983,rice
Amminalli,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,74.80833333,14.3875,2.05,77,60,137,16.996,0.32,7.89,NaN,,39,7.042299069,rice
Anachihally,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2018,76.04861111,12.98916667,25,196,0,0,109.26,0.42,8.48,NaN,,41,6.249050656,rice
Anchedoddi,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2018,77.07722222,12.39527778,3.8,149.1,46,384.3,4.8,0.368715,8.171,4.82,,39,6.970859754,rice
Andur,CGWB,Karnataka,Bidar,Godavari Basin,Manjra,2018,77.41944444,17.90694444,2.7,112,32,118,8.5,0.36478,7.48,8.81,,36,5.953933276,rice
Anjabhuvanahalli,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2018,77.12,12.47277778,4.7,113.6,48,85.4,51,1.09497,8.31,NaN,,40,5.85393208,rice
Ankadakatte,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,74.69416667,13.60416667,8.7,35.5,NaN,NaN,12.1,0.013,7.603,NaN,,36,6.442475375,rice
Ankegowdanakoppalu,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Upper,2018,76.55,12.51666667,12,74.55,96,372.1,8.512,0.388158,8.252,NaN,,43,5.070175667,rice
Ankihalli,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2018,75.86138889,13.02694444,0,166,NaN,NaN,0,0.12,7.89,NaN,,41,6.012632591,rice
Ankola1,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,74.3,14.66666667,1.95,35.45,26,98,29.136,0.41,7.68,NaN,,43,6.254028451,rice
Ankusha Doddy,CGWB,Karnataka,Raichur,Krishna Basin,Tungabhadra Lower,2018,76.61222222,16.03444444,4,312.4,32,281.8,1.2,2.5,8.62,5.46,,37,7.375482851,rice
Anshi,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,74.38333333,14.9875,0,18,16,115.938,0,0.32,7.96,NaN,,41,7.778915154,rice
Antarganga,CGWB,Karnataka,Kolar,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,2018,78.10666667,13.14083333,2.2,60.35,28,207.4,42.4,0.655172,6.85,13.37,,43,6.286500176,rice
Antarvalli,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,74.45944444,14.47111111,25.7,40,20,85,24.32,0.32,7.91,NaN,,41,7.070959995,rice
Arabi Kottanuru,CGWB,Karnataka,Kolar,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,2018,78.0425,13.12111111,17.05,24.85,10,67.1,30.35,0.131034,6.958,NaN,,44,6.244841491,rice
Arakere1,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2018,76.8,12.41666667,6.3,35.5,42,189.1,4.8,0.0855263,8.12,NaN,,35,6.043304899,rice
Ardi,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,74.97444444,13.51805556,2.8,21.3,NaN,NaN,6,0.013,8.994,NaN,,41,5.824709117,rice
Arehalli,CGWB,Karnataka,Chitradurga,Krishna Basin,Tungabhadra Upper,2018,76.11666667,14.03333333,2.9,582.2,52,335.5,4.8,1.17318,7.901,11.4,,40,6.357389366,rice
Arehalli,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2018,75.81138889,13.05361111,1.9,89,NaN,NaN,27.968,0.13,7.96,NaN,,39,6.364134968,rice
Arekoppa,CGWB,Karnataka,Uttara Kannada,Krishna Basin,Tungabhadra Upper,2018,74.87916667,14.59583333,12.9,28.36,28,90,135.968,0.31,7.57,NaN,,38,5.01450727,rice
